title,img_src,link,author,publisher,price
평지에 뜨는 달,https://bookthumb-phinf.pstatic.net/cover/163/398/16339896.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339896, 아사쿠사 가스미 저,직선과곡선,"12,600원(-10%)"
권력의 가문 메디치 2,https://bookthumb-phinf.pstatic.net/cover/163/293/16329335.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329335, 마테오 스트루쿨,메디치미디어,"13,500원(-10%)"
밤의 책,https://bookthumb-phinf.pstatic.net/cover/163/409/16340909.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340909, 실비 제르맹,문학동네,"14,220원(-10%)"
권력의 가문 메디치 3,https://bookthumb-phinf.pstatic.net/cover/163/293/16329336.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329336, 마테오 스트루쿨,메디치미디어,"13,500원(-10%)"
대한민국의 몰락과 부활. 1,https://bookthumb-phinf.pstatic.net/cover/163/400/16340080.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340080, 박인걸,북랩,"13,320원(-10%)"
모래 별 쏟아지는 밤(할리퀸 로맨스 HR 277),https://bookthumb-phinf.pstatic.net/cover/163/296/16329647.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329647, 캐롤 마리넬리,신영미디어,"4,680원(-10%)"
밑 빠진 용병대에 돈 붓기 1,https://bookthumb-phinf.pstatic.net/cover/163/387/16338765.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338765, 체셔냐옹,동아,"10,800원(-10%)"
청소년을 위한 고전 소설 에세이,https://bookthumb-phinf.pstatic.net/cover/163/400/16340068.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340068, 류수열,해냄출판사,"14,220원(-10%)"
억만장자 길들이기(할리퀸 로맨스 HR 278),https://bookthumb-phinf.pstatic.net/cover/163/296/16329650.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329650, 미랜다 리,신영미디어,"4,680원(-10%)"
밑 빠진 용병대에 돈 붓기 2,https://bookthumb-phinf.pstatic.net/cover/163/387/16338766.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338766, 체셔냐옹,동아,"10,800원(-10%)"
모두가 해피엔딩(할리퀸 로맨스 HR 279),https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329653, 캣 쉴드,신영미디어,"4,680원(-10%)"
사랑은 구름 속에서(할리퀸 로맨스 HR 280),https://bookthumb-phinf.pstatic.net/cover/163/296/16329654.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329654, 페니 조던,신영미디어,"4,680원(-10%)"
선켄락 3,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338762, Boichi 글그림,메모리얼북스,"5,400원(-10%)"
소용돌이 안내소(가마쿠라)(반양장),https://bookthumb-phinf.pstatic.net/cover/163/395/16339543.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339543, 아오야마 미치코,직선과곡선,"13,500원(-10%)"
권력의 가문 메디치 1,https://bookthumb-phinf.pstatic.net/cover/163/293/16329334.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329334, 마테오 스트루쿨,메디치미디어,"13,500원(-10%)"
사랑하는 나의 도시,https://bookthumb-phinf.pstatic.net/cover/163/399/16339940.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339940, 조영지,바른북스,"12,510원(-10%)"
조선남자 7,https://bookthumb-phinf.pstatic.net/cover/163/308/16330842.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330842, K. 석우,어울림출판사,"7,200원(-10%)"
황태자비의 남자,https://bookthumb-phinf.pstatic.net/cover/163/317/16331788.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16331788, 진숙,봄미디어,"10,800원(-10%)"
회귀하여 90년대 톱스타되기 8,https://bookthumb-phinf.pstatic.net/cover/163/308/16330843.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330843, 의향도,어울림출판사,"7,200원(-10%)"
위대한 개츠비(미니북),https://bookthumb-phinf.pstatic.net/cover/163/383/16338316.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338316, F. 스콧 피츠제럴드,자화상,"5,310원(-10%)"
족구의 풍경,https://bookthumb-phinf.pstatic.net/cover/163/395/16339548.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339548, 오수완,위즈덤하우스,"11,700원(-10%)"
